company_name,country,business_segment,approximate_size
Futurice,Finland,IT Services,800
Relex Solutions,Finland,Retail Tech,1800
Aiven,Finland,Cloud Infrastructure,450
Wolt,Finland,Platform,7000
Supercell,Finland,Mobile Gaming,500
Varjo,Finland,XR Technology,300
ICEYE,Finland,Space Technology,600
Smartly.io,Finland,AdTech,700
Swappie,Finland,E-commerce,600
Oura Health,Finland,Health Tech,700
Tietoevry,Finland,IT Services,15000
Nokia,Finland,Telecommunications,86000
Solita,Finland,Data Consulting,2000
Vincit,Finland,Software Development,550
Bittium,Finland,Secure Communications,650
Rovio Entertainment,Finland,Mobile Gaming,500
Rightware,Finland,Automotive Software,180
Klevu,Finland,E-commerce AI,150
Valohai,Finland,Machine Learning Infrastructure,50